num_elements,bubble_sort,selection_sort,insertion_sort,merge_sort,quick_sort,heap_sort
10,0.00,0.00,0.00,0.00,0.00,0.00
20,0.01,0.00,0.00,0.01,0.00,0.01
40,0.03,0.02,0.01,0.01,0.01,0.02
80,0.09,0.05,0.02,0.03,0.02,0.04
160,0.29,0.14,0.08,0.06,0.05,0.09
320,0.95,0.51,0.26,0.12,0.10,0.18
640,3.16,0.68,0.32,0.08,0.07,0.13
1280,4.38,2.38,1.29,0.18,0.15,0.29
2560,18.18,9.32,5.11,0.39,0.33,0.65
5120,82.69,36.89,20.10,0.83,0.72,1.42
10240,373.84,146.96,81.61,1.79,1.59,3.07
20480,1615.95,592.24,341.27,3.86,3.38,6.74
40960,6837.37,2351.15,1318.74,8.18,7.16,14.41
81920,28316.50,9398.35,5315.80,17.32,15.47,30.84
163840,114917.36,38417.36,24408.21,39.48,34.96,69.05
